Name,Installed
AD-Certificate,False
ADCS-Cert-Authority,False
ADCS-Enroll-Web-Pol,False
ADCS-Enroll-Web-Svc,False
ADCS-Web-Enrollment,False
ADCS-Device-Enrollment,False
ADCS-Online-Cert,False
AD-Domain-Services,False
ADFS-Federation,False
ADLDS,False
ADRMS,False
ADRMS-Server,False
ADRMS-Identity,False
Application-Server,False
AS-NET-Framework,False
AS-Ent-Services,False
AS-Dist-Transaction,False
AS-WS-Atomic,False
AS-Incoming-Trans,False
AS-Outgoing-Trans,False
AS-TCP-Port-Sharing,False
AS-Web-Support,False
AS-WAS-Support,False
AS-HTTP-Activation,False
AS-MSMQ-Activation,False
AS-Named-Pipes,False
AS-TCP-Activation,False
DHCP,False
DNS,False
Fax,False
FileAndStorage-Services,True
File-Services,False
FS-FileServer,False
FS-BranchCache,False
FS-Data-Deduplication,False
FS-DFS-Namespace,False
FS-DFS-Replication,False
FS-Resource-Manager,False
FS-VSS-Agent,False
FS-iSCSITarget-Server,False
iSCSITarget-VSS-VDS,False
FS-NFS-Service,False
FS-SyncShareService,False
Storage-Services,True
Hyper-V,False
NPAS,False
NPAS-Policy-Server,False
NPAS-Health,False
NPAS-Host-Cred,False
Print-Services,False
Print-Server,False
Print-Scan-Server,False
Print-Internet,False
Print-LPD-Service,False
RemoteAccess,False
DirectAccess-VPN,False
Routing,False
Web-Application-Proxy,False
Remote-Desktop-Services,False
RDS-Connection-Broker,False
RDS-Gateway,False
RDS-Licensing,False
RDS-RD-Server,False
RDS-Virtualization,False
RDS-Web-Access,False
VolumeActivation,False
Web-Server,False
Web-WebServer,False
Web-Common-Http,False
Web-Default-Doc,False
Web-Dir-Browsing,False
Web-Http-Errors,False
Web-Static-Content,False
Web-Http-Redirect,False
Web-DAV-Publishing,False
Web-Health,False
Web-Http-Logging,False
Web-Custom-Logging,False
Web-Log-Libraries,False
Web-ODBC-Logging,False
Web-Request-Monitor,False
Web-Http-Tracing,False
Web-Performance,False
Web-Stat-Compression,False
Web-Dyn-Compression,False
Web-Security,False
Web-Filtering,False
Web-Basic-Auth,False
Web-CertProvider,False
Web-Client-Auth,False
Web-Digest-Auth,False
Web-Cert-Auth,False
Web-IP-Security,False
Web-Url-Auth,False
Web-Windows-Auth,False
Web-App-Dev,False
Web-Net-Ext,False
Web-Net-Ext45,False
Web-AppInit,False
Web-ASP,False
Web-Asp-Net,False
Web-Asp-Net45,False
Web-CGI,False
Web-ISAPI-Ext,False
Web-ISAPI-Filter,False
Web-Includes,False
Web-WebSockets,False
Web-Ftp-Server,False
Web-Ftp-Service,False
Web-Ftp-Ext,False
Web-Mgmt-Tools,False
Web-Mgmt-Console,False
Web-Mgmt-Compat,False
Web-Metabase,False
Web-Lgcy-Mgmt-Console,False
Web-Lgcy-Scripting,False
Web-WMI,False
Web-Scripting-Tools,False
Web-Mgmt-Service,False
WDS,False
WDS-Deployment,False
WDS-Transport,False
ServerEssentialsRole,False
UpdateServices,False
UpdateServices-WidDB,False
UpdateServices-Services,False
UpdateServices-DB,False
NET-Framework-Features,False
NET-Framework-Core,False
NET-HTTP-Activation,False
NET-Non-HTTP-Activ,False
NET-Framework-45-Features,True
NET-Framework-45-Core,True
NET-Framework-45-ASPNET,False
NET-WCF-Services45,True
NET-WCF-HTTP-Activation45,False
NET-WCF-MSMQ-Activation45,False
NET-WCF-Pipe-Activation45,False
NET-WCF-TCP-Activation45,False
NET-WCF-TCP-PortSharing45,True
BITS,False
BITS-IIS-Ext,False
BITS-Compact-Server,False
BitLocker,False
BitLocker-NetworkUnlock,False
BranchCache,False
NFS-Client,False
Data-Center-Bridging,False
Direct-Play,False
EnhancedStorage,False
Failover-Clustering,False
GPMC,False
Web-WHC,False
InkAndHandwritingServices,False
Internet-Print-Client,False
IPAM,False
ISNS,False
LPR-Port-Monitor,False
ManagementOdata,False
Server-Media-Foundation,False
MSMQ,False
MSMQ-Services,False
MSMQ-Server,False
MSMQ-Directory,False
MSMQ-HTTP-Support,False
MSMQ-Triggers,False
MSMQ-Multicasting,False
MSMQ-Routing,False
MSMQ-DCOM,False
Multipath-IO,False
NLB,False
PNRP,False
qWave,False
CMAK,False
Remote-Assistance,False
RDC,False
RSAT,False
RSAT-Feature-Tools,False
RSAT-SMTP,False
RSAT-Feature-Tools-BitLocker,False
RSAT-Feature-Tools-BitLocker-RemoteAdminTool,False
RSAT-Feature-Tools-BitLocker-BdeAducExt,False
RSAT-Bits-Server,False
RSAT-Clustering,False
RSAT-Clustering-Mgmt,False
RSAT-Clustering-PowerShell,False
RSAT-Clustering-AutomationServer,False
RSAT-Clustering-CmdInterface,False
IPAM-Client-Feature,False
RSAT-NLB,False
RSAT-SNMP,False
RSAT-WINS,False
RSAT-Role-Tools,False
RSAT-AD-Tools,False
RSAT-AD-PowerShell,False
RSAT-ADDS,False
RSAT-AD-AdminCenter,False
RSAT-ADDS-Tools,False
RSAT-NIS,False
RSAT-ADLDS,False
RSAT-Hyper-V-Tools,False
Hyper-V-Tools,False
Hyper-V-PowerShell,False
RSAT-RDS-Tools,False
RSAT-RDS-Gateway,False
RSAT-RDS-Licensing-Diagnosis-UI,False
RDS-Licensing-UI,False
UpdateServices-RSAT,False
UpdateServices-API,False
UpdateServices-UI,False
RSAT-ADCS,False
RSAT-ADCS-Mgmt,False
RSAT-Online-Responder,False
RSAT-ADRMS,False
RSAT-DHCP,False
RSAT-DNS-Server,False
RSAT-Fax,False
RSAT-File-Services,False
RSAT-DFS-Mgmt-Con,False
RSAT-FSRM-Mgmt,False
RSAT-NFS-Admin,False
RSAT-CoreFile-Mgmt,False
RSAT-NPAS,False
RSAT-Print-Services,False
RSAT-RemoteAccess,False
RSAT-RemoteAccess-Mgmt,False
RSAT-RemoteAccess-PowerShell,False
RSAT-VA-Tools,False
WDS-AdminPack,False
RPC-over-HTTP-Proxy,False
Simple-TCPIP,False
FS-SMB1,True
FS-SMBBW,False
SMTP-Server,False
SNMP-Service,False
SNMP-WMI-Provider,False
Telnet-Client,True
Telnet-Server,False
TFTP-Client,False
User-Interfaces-Infra,True
Server-Gui-Mgmt-Infra,True
Desktop-Experience,False
Server-Gui-Shell,True
Biometric-Framework,False
WFF,False
Windows-Identity-Foundation,False
Windows-Internal-Database,False
PowerShellRoot,True
PowerShell,True
PowerShell-V2,False
DSC-Service,False
PowerShell-ISE,True
WindowsPowerShellWebAccess,False
WAS,False
WAS-Process-Model,False
WAS-NET-Environment,False
WAS-Config-APIs,False
Search-Service,False
Windows-Server-Backup,False
Migration,False
WindowsStorageManagementService,False
Windows-TIFF-IFilter,False
WinRM-IIS-Ext,False
WINS,False
Wireless-Networking,False
WoW64-Support,True
XPS-Viewer,True